country_name,country_code,year,population,millions_healthy_diet,millions_nutrient,millions_calories,percent_healthy_diet,percent_nutrient,percent_calories,affordability_energy,affordability_nutrient,affordability_healthy_diet
Albania,ALB,2017.0,2873457.0,0.9,0.3,0.0,31.3,8.9,0.0,0.078,0.266,0.425
Albania,ALB,2018.0,2866376.0,0.7,,,23.0,,,,,
Albania,ALB,2019.0,2854191.0,0.6,,,22.2,,,,,
Albania,ALB,2020.0,2837849.0,0.6,,,19.9,,,,,
Albania,ALB,2021.0,2811666.0,0.4,,,15.7,,,,,
Algeria,DZA,2017.0,41136546.0,13.3,2.5,0.1,32.4,6.2,0.1,0.124,0.374,0.605
Algeria,DZA,2018.0,41927007.0,13.0,,,31.0,,,,,
Algeria,DZA,2019.0,42705368.0,12.4,,,28.9,,,,,
Algeria,DZA,2020.0,43451666.0,13.5,,,31.1,,,,,
Algeria,DZA,2021.0,44177969.0,14.2,,,32.2,,,,,
Angola,AGO,2017.0,30208628.0,24.6,21.5,10.9,81.5,71.2,36.1,0.315,0.726,0.972
Angola,AGO,2018.0,31273533.0,25.9,,,82.7,,,,,
Angola,AGO,2019.0,32353588.0,27.1,,,83.9,,,,,
Angola,AGO,2020.0,33428486.0,29.0,,,86.7,,,,,
Angola,AGO,2021.0,34503774.0,30.4,,,88.1,,,,,
Anguilla,AIA,2017.0,,,,,,,,0.203,0.378,0.577
Anguilla,AIA,2018.0,,,,,,,,,,
Anguilla,AIA,2019.0,,,,,,,,,,
Anguilla,AIA,2020.0,,,,,,,,,,
Anguilla,AIA,2021.0,,,,,,,,,,
Antigua and Barbuda,ATG,2017.0,91119.0,,,,,,,0.174,0.563,0.767
Antigua and Barbuda,ATG,2018.0,91626.0,,,,,,,,,
Antigua and Barbuda,ATG,2019.0,92117.0,,,,,,,,,
Antigua and Barbuda,ATG,2020.0,92664.0,,,,,,,,,
Antigua and Barbuda,ATG,2021.0,93219.0,,,,,,,,,
Argentina,ARG,2017.0,44044811.0,3.0,1.8,0.1,6.8,4.0,0.2,0.077,0.31,0.395
Argentina,ARG,2018.0,,,,,,,,,,
Argentina,ARG,2019.0,,,,,,,,,,
Argentina,ARG,2020.0,,,,,,,,,,
Argentina,ARG,2021.0,,,,,,,,,,
Armenia,ARM,2017.0,2851923.0,1.1,0.4,0.0,37.1,14.3,0.5,0.088,0.192,0.27
Armenia,ARM,2018.0,2836557.0,1.1,,,37.9,,,,,
Armenia,ARM,2019.0,2820602.0,1.1,,,40.0,,,,,
Armenia,ARM,2020.0,2805608.0,1.1,,,39.0,,,,,
Armenia,ARM,2021.0,2790974.0,1.2,,,41.4,,,,,
Aruba,ABW,2017.0,105439.0,,,,,,,0.239,0.6,0.723
Aruba,ABW,2018.0,105962.0,,,,,,,,,
Aruba,ABW,2019.0,106442.0,,,,,,,,,
Aruba,ABW,2020.0,106585.0,,,,,,,,,
Aruba,ABW,2021.0,106537.0,,,,,,,,,
Australia,AUS,2017.0,24594202.0,0.2,0.1,0.1,0.7,0.5,0.2,0.045,0.235,0.333
Australia,AUS,2018.0,24966643.0,0.2,,,0.7,,,,,
Australia,AUS,2019.0,25340217.0,0.2,,,0.7,,,,,
Australia,AUS,2020.0,25655289.0,0.2,,,0.7,,,,,
Australia,AUS,2021.0,25688079.0,0.2,,,0.7,,,,,
Austria,AUT,2017.0,8797566.0,0.1,0.0,0.0,0.6,0.5,0.2,0.049,0.318,0.39
Austria,AUT,2018.0,8840521.0,0.1,,,0.8,,,,,
Austria,AUT,2019.0,8879920.0,0.1,,,0.8,,,,,
Austria,AUT,2020.0,8916864.0,0.1,,,1.0,,,,,
Austria,AUT,2021.0,8955797.0,0.1,,,0.9,,,,,
Azerbaijan,AZE,2017.0,9854033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097,0.225,0.288
Azerbaijan,AZE,2018.0,9939771.0,0.0,,,0.0,,,,,
Azerbaijan,AZE,2019.0,10024283.0,0.0,,,0.0,,,,,
Azerbaijan,AZE,2020.0,10093121.0,0.0,,,0.0,,,,,
Azerbaijan,AZE,2021.0,10137750.0,0.0,,,0.0,,,,,
"Bahamas, The",BHS,2017.0,399020.0,,,,,,,0.169,0.755,0.69
"Bahamas, The",BHS,2018.0,401906.0,,,,,,,,,
"Bahamas, The",BHS,2019.0,404557.0,,,,,,,,,
"Bahamas, The",BHS,2020.0,406471.0,,,,,,,,,
"Bahamas, The",BHS,2021.0,407906.0,,,,,,,,,
Bahrain,BHR,2017.0,1456834.0,,,,,,,0.115,0.412,0.492
Bahrain,BHR,2018.0,1487340.0,,,,,,,,,
Bahrain,BHR,2019.0,1494188.0,,,,,,,,,
Bahrain,BHR,2020.0,1477469.0,,,,,,,,,
Bahrain,BHR,2021.0,1463265.0,,,,,,,,,
Bangladesh,BGD,2017.0,161793964.0,125.7,84.1,1.3,77.7,52.0,0.8,0.145,0.438,0.648
Bangladesh,BGD,2018.0,163683958.0,126.0,,,76.9,,,,,
Bangladesh,BGD,2019.0,165516222.0,125.8,,,76.0,,,,,
Bangladesh,BGD,2020.0,167420951.0,125.9,,,75.2,,,,,
Bangladesh,BGD,2021.0,169356251.0,125.2,,,73.9,,,,,
Barbados,BRB,2017.0,279187.0,,,,,,,0.218,0.542,
Barbados,BRB,2018.0,,,,,,,,,,
Barbados,BRB,2019.0,,,,,,,,,,
Barbados,BRB,2020.0,,,,,,,,,,
Barbados,BRB,2021.0,,,,,,,,,,
Belarus,BLR,2017.0,9458989.0,0.2,0.0,0.0,2.1,0.2,0.0,0.095,0.257,0.378
Belarus,BLR,2018.0,9438785.0,0.1,,,1.1,,,,,
Belarus,BLR,2019.0,9419758.0,0.1,,,1.4,,,,,
Belarus,BLR,2020.0,9379952.0,0.1,,,0.7,,,,,
Belarus,BLR,2021.0,9302585.0,0.0,,,0.5,,,,,
Belgium,BEL,2017.0,11375158.0,0.0,0.0,0.0,0.3,0.3,0.1,0.032,0.291,0.347
Belgium,BEL,2018.0,11427054.0,0.0,,,0.2,,,,,
Belgium,BEL,2019.0,11488980.0,0.0,,,0.2,,,,,
Belgium,BEL,2020.0,11538604.0,0.0,,,0.2,,,,,
Belgium,BEL,2021.0,11592952.0,0.0,,,0.1,,,,,
