oly_game,event_title,event_gender,medal_type,athlete_full_name,country_name,country_code,year
tokyo-2020,Men's 61kg,Men,SILVER,Eko Yuli IRAWAN,Indonesia,INA,2020
tokyo-2020,Men's 61kg,Men,GOLD,Fabin LI,People's Republic of China,CHN,2020
tokyo-2020,Men's 61kg,Men,BRONZE,Igor SON,Kazakhstan,KAZ,2020
tokyo-2020,Women's 55kg,Women,SILVER,Qiuyun LIAO,People's Republic of China,CHN,2020
tokyo-2020,Women's 55kg,Women,BRONZE,Zulfiya CHINSHANLO,Kazakhstan,KAZ,2020
tokyo-2020,Women's 55kg,Women,GOLD,Hidilyn DIAZ,Philippines,PHI,2020
tokyo-2020,Men's 67kg,Men,BRONZE,Mirko ZANNI,Italy,ITA,2020
tokyo-2020,Men's 67kg,Men,SILVER,Luis Javier MOSQUERA LOZANO,Colombia,COL,2020
tokyo-2020,Men's 67kg,Men,GOLD,Lijun CHEN,People's Republic of China,CHN,2020
tokyo-2020,Men's 81kg,Men,GOLD,Xiaojun LYU,People's Republic of China,CHN,2020
tokyo-2020,Men's 81kg,Men,SILVER,Zacarias BONNAT MICHEL,Dominican Republic,DOM,2020
tokyo-2020,Men's 81kg,Men,BRONZE,Antonino PIZZOLATO,Italy,ITA,2020
tokyo-2020,Women's +87kg,Women,BRONZE,Sarah ROBLES,United States of America,USA,2020
tokyo-2020,Women's +87kg,Women,SILVER,Emily Jade CAMPBELL,Great Britain,GBR,2020
tokyo-2020,Women's +87kg,Women,GOLD,Wenwen LI,People's Republic of China,CHN,2020
tokyo-2020,Women's 87kg,Women,SILVER,Tamara Yajaira SALAZAR ARCE,Ecuador,ECU,2020
tokyo-2020,Women's 87kg,Women,BRONZE,Cismery Dominga SANTANA PEGUERO,Dominican Republic,DOM,2020
tokyo-2020,Women's 87kg,Women,GOLD,Zhouyu WANG,People's Republic of China,CHN,2020
tokyo-2020,Men's +109kg,Men,BRONZE,Man ASAAD,Syrian Arab Republic,SYR,2020
tokyo-2020,Men's +109kg,Men,GOLD,Lasha TALAKHADZE,Georgia,GEO,2020
tokyo-2020,Men's +109kg,Men,SILVER,Ali DAVOUDI,Islamic Republic of Iran,IRI,2020
tokyo-2020,Women's 59kg,Women,SILVER,Polina GURYEVA,Turkmenistan,TKM,2020
