Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Population [Pop],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp]
Food Prices for Nutrition 2.1,FPN 2.1,Albania,ALB,2017,YR2017,2873457,0.9,0.3,0,31.3,8.9,0,0.078,0.266,0.425
Food Prices for Nutrition 2.1,FPN 2.1,Albania,ALB,2018,YR2018,2866376,0.7,..,..,23,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Albania,ALB,2019,YR2019,2854191,0.6,..,..,22.2,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Albania,ALB,2020,YR2020,2837849,0.6,..,..,19.9,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Albania,ALB,2021,YR2021,2811666,0.4,..,..,15.7,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Algeria,DZA,2017,YR2017,41136546,13.3,2.5,0.1,32.4,6.2,0.1,0.124,0.374,0.605
Food Prices for Nutrition 2.1,FPN 2.1,Algeria,DZA,2018,YR2018,41927007,13,..,..,31,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Algeria,DZA,2019,YR2019,42705368,12.4,..,..,28.9,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Algeria,DZA,2020,YR2020,43451666,13.5,..,..,31.1,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Algeria,DZA,2021,YR2021,44177969,14.2,..,..,32.2,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Angola,AGO,2017,YR2017,30208628,24.6,21.5,10.9,81.5,71.2,36.1,0.315,0.726,0.972
Food Prices for Nutrition 2.1,FPN 2.1,Angola,AGO,2018,YR2018,31273533,25.9,..,..,82.7,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Angola,AGO,2019,YR2019,32353588,27.1,..,..,83.9,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Angola,AGO,2020,YR2020,33428486,29,..,..,86.7,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Angola,AGO,2021,YR2021,34503774,30.4,..,..,88.1,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Anguilla,AIA,2017,YR2017,..,..,..,..,..,..,..,0.203,0.378,0.577
Food Prices for Nutrition 2.1,FPN 2.1,Anguilla,AIA,2018,YR2018,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Anguilla,AIA,2019,YR2019,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Anguilla,AIA,2020,YR2020,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Anguilla,AIA,2021,YR2021,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Antigua and Barbuda,ATG,2017,YR2017,91119,..,..,..,..,..,..,0.174,0.563,0.767
Food Prices for Nutrition 2.1,FPN 2.1,Antigua and Barbuda,ATG,2018,YR2018,91626,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Antigua and Barbuda,ATG,2019,YR2019,92117,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Antigua and Barbuda,ATG,2020,YR2020,92664,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Antigua and Barbuda,ATG,2021,YR2021,93219,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Argentina,ARG,2017,YR2017,44044811,3,1.8,0.1,6.8,4,0.2,0.077,0.31,0.395
Food Prices for Nutrition 2.1,FPN 2.1,Argentina,ARG,2018,YR2018,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Argentina,ARG,2019,YR2019,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Argentina,ARG,2020,YR2020,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Argentina,ARG,2021,YR2021,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Armenia,ARM,2017,YR2017,2851923,1.1,0.4,0,37.1,14.3,0.5,0.088,0.192,0.27
Food Prices for Nutrition 2.1,FPN 2.1,Armenia,ARM,2018,YR2018,2836557,1.1,..,..,37.9,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Armenia,ARM,2019,YR2019,2820602,1.1,..,..,40,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Armenia,ARM,2020,YR2020,2805608,1.1,..,..,39,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Armenia,ARM,2021,YR2021,2790974,1.2,..,..,41.4,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Aruba,ABW,2017,YR2017,105439,..,..,..,..,..,..,0.239,0.6,0.723
Food Prices for Nutrition 2.1,FPN 2.1,Aruba,ABW,2018,YR2018,105962,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Aruba,ABW,2019,YR2019,106442,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Aruba,ABW,2020,YR2020,106585,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Aruba,ABW,2021,YR2021,106537,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Australia,AUS,2017,YR2017,24594202,0.2,0.1,0.1,0.7,0.5,0.2,0.045,0.235,0.333
Food Prices for Nutrition 2.1,FPN 2.1,Australia,AUS,2018,YR2018,24966643,0.2,..,..,0.7,..,..,..,..,..
