Country Name,Country Code,Time,Time Code,Individuals using the Internet (% of population),,,,,,
Afghanistan,AFG,2017,YR2017,13.5,,,,,,
Afghanistan,AFG,2018,YR2018,16.8,,,,,,
Afghanistan,AFG,2019,YR2019,17.6,,,,,,
Afghanistan,AFG,2020,YR2020,18.4,,,,,,
Afghanistan,AFG,2021,YR2021,..,,,,,,
Albania,ALB,2017,YR2017,62.4,,,,,,
Albania,ALB,2018,YR2018,65.4,,,,,,
Albania,ALB,2019,YR2019,68.55039112,,,,,,
Albania,ALB,2020,YR2020,72.23767711,,,,,,
Albania,ALB,2021,YR2021,79.32371752,,,,,,
Algeria,DZA,2017,YR2017,47.69105515,,,,,,
Algeria,DZA,2018,YR2018,49.03846808,,,,,,
Algeria,DZA,2019,YR2019,58.97757455,,,,,,
Algeria,DZA,2020,YR2020,63.94999611,,,,,,
Algeria,DZA,2021,YR2021,70.77,,,,,,
American Samoa,ASM,2017,YR2017,..,,,,,,
American Samoa,ASM,2018,YR2018,..,,,,,,
American Samoa,ASM,2019,YR2019,..,,,,,,
American Samoa,ASM,2020,YR2020,..,,,,,,
American Samoa,ASM,2021,YR2021,..,,,,,,
Andorra,AND,2017,YR2017,91.56746703,,,,,,
Andorra,AND,2018,YR2018,..,,,,,,
Andorra,AND,2019,YR2019,90.71866533,,,,,,
Andorra,AND,2020,YR2020,93.20564892,,,,,,
Andorra,AND,2021,YR2021,93.89752157,,,,,,
Angola,AGO,2017,YR2017,26,,,,,,
Angola,AGO,2018,YR2018,29,,,,,,
Angola,AGO,2019,YR2019,32.12939197,,,,,,
Angola,AGO,2020,YR2020,32.55014678,,,,,,
Angola,AGO,2021,YR2021,32.60230173,,,,,,
Antigua and Barbuda,ATG,2017,YR2017,..,,,,,,
Antigua and Barbuda,ATG,2018,YR2018,..,,,,,,
Antigua and Barbuda,ATG,2019,YR2019,95.70763132,,,,,,
Antigua and Barbuda,ATG,2020,YR2020,95.68550784,,,,,,
Antigua and Barbuda,ATG,2021,YR2021,95.66338947,,,,,,
Argentina,ARG,2017,YR2017,74.29490687,,,,,,
Argentina,ARG,2018,YR2018,77.7,,,,,,
Argentina,ARG,2019,YR2019,79.94695203,,,,,,
Argentina,ARG,2020,YR2020,85.51438646,,,,,,
Argentina,ARG,2021,YR2021,87.15070683,,,,,,
Armenia,ARM,2017,YR2017,64.74488433,,,,,,
Armenia,ARM,2018,YR2018,68.24505226,,,,,,
Armenia,ARM,2019,YR2019,66.54394969,,,,,,
Armenia,ARM,2020,YR2020,76.50770055,,,,,,
Armenia,ARM,2021,YR2021,78.61225758,,,,,,
Aruba,ABW,2017,YR2017,97.17,,,,,,
Aruba,ABW,2018,YR2018,..,,,,,,
Aruba,ABW,2019,YR2019,..,,,,,,
Aruba,ABW,2020,YR2020,..,,,,,,
Aruba,ABW,2021,YR2021,..,,,,,,
Australia,AUS,2017,YR2017,86.54504885,,,,,,
Australia,AUS,2018,YR2018,90,,,,,,
Australia,AUS,2019,YR2019,93.60991916,,,,,,
Australia,AUS,2020,YR2020,96.39446689,,,,,,
Australia,AUS,2021,YR2021,96.24,,,,,,
Austria,AUT,2017,YR2017,87.93558659,,,,,,
Austria,AUT,2018,YR2018,87.47913723,,,,,,
Austria,AUT,2019,YR2019,87.75220479,,,,,,
Austria,AUT,2020,YR2020,87.52942813,,,,,,
Austria,AUT,2021,YR2021,92.52915104,,,,,,
Azerbaijan,AZE,2017,YR2017,79,,,,,,
Azerbaijan,AZE,2018,YR2018,79.79999549,,,,,,
Azerbaijan,AZE,2019,YR2019,81.09999907,,,,,,
Azerbaijan,AZE,2020,YR2020,84.59999573,,,,,,
Azerbaijan,AZE,2021,YR2021,86,,,,,,
"Bahamas, The",BHS,2017,YR2017,80.6,,,,,,
"Bahamas, The",BHS,2018,YR2018,83,,,,,,
"Bahamas, The",BHS,2019,YR2019,90.69327663,,,,,,
"Bahamas, The",BHS,2020,YR2020,92.4760204,,,,,,
"Bahamas, The",BHS,2021,YR2021,94.29380729,,,,,,
Bahrain,BHR,2017,YR2017,95.87813575,,,,,,
Bahrain,BHR,2018,YR2018,98.64467258,,,,,,
Bahrain,BHR,2019,YR2019,99.70150438,,,,,,
Bahrain,BHR,2020,YR2020,99.67103159,,,,,,
Bahrain,BHR,2021,YR2021,100,,,,,,
Bangladesh,BGD,2017,YR2017,19.8,,,,,,
Bangladesh,BGD,2018,YR2018,23.44,,,,,,
Bangladesh,BGD,2019,YR2019,27.76,,,,,,
Bangladesh,BGD,2020,YR2020,32.87,,,,,,
Bangladesh,BGD,2021,YR2021,38.91744466,,,,,,
Barbados,BRB,2017,YR2017,81.76077839,,,,,,
Barbados,BRB,2018,YR2018,82.48,,,,,,
Barbados,BRB,2019,YR2019,83.20881332,,,,,,
Barbados,BRB,2020,YR2020,82.458446,,,,,,
Barbados,BRB,2021,YR2021,85.82,,,,,,
Belarus,BLR,2017,YR2017,74.43644541,,,,,,
Belarus,BLR,2018,YR2018,79.12988669,,,,,,
Belarus,BLR,2019,YR2019,82.78915209,,,,,,
Belarus,BLR,2020,YR2020,85.08791245,,,,,,
Belarus,BLR,2021,YR2021,86.88841196,,,,,,
Belgium,BEL,2017,YR2017,87.67968082,,,,,,
Belgium,BEL,2018,YR2018,88.647343,,,,,,
Belgium,BEL,2019,YR2019,90.27542801,,,,,,
Belgium,BEL,2020,YR2020,91.52641629,,,,,,
Belgium,BEL,2021,YR2021,92.78867618,,,,,,
Belize,BLZ,2017,YR2017,47.0826258,,,,,,
Belize,BLZ,2018,YR2018,49.8,,,,,,
Belize,BLZ,2019,YR2019,57.11844188,,,,,,
Belize,BLZ,2020,YR2020,59.50638944,,,,,,
Belize,BLZ,2021,YR2021,61.9941698,,,,,,
Benin,BEN,2017,YR2017,18.7,,,,,,
Benin,BEN,2018,YR2018,19,,,,,,
